Date/Heure;Nom;Quantité;Sens;Taille;Tracking;Turbidité
2025-02-08 20:50:45.749;TRF;1;0;0;;0
2025-02-08 20:54:28.223;TRF;1;0;0;;0
2025-02-08 22:21:55.203;TRF;1;0;0;;0
2025-02-08 22:24:07.005;TRF;1;0;0;;0
2025-02-08 22:27:27.957;TRF;1;0;0;;0
2025-02-08 22:27:50.985;TRF;1;0;0;;0
2025-02-08 23:20:31.132;TRF;1;0;0;;0
2025-02-08 23:28:28.973;TRF;1;0;0;;0
2025-02-08 23:39:33.627;TRF;1;0;0;;0
2025-02-08 23:40:50.087;TRF;1;0;0;;0
2025-02-09 00:05:18.854;TRF;1;0;0;;0
2025-02-09 00:09:28.978;TRF;1;0;0;;0
2025-02-09 00:23:53.638;TRF;1;0;0;;0
2025-02-09 01:31:53.470;TRF;1;0;0;;0
2025-02-09 05:25:23.439;TRF;1;0;0;;0
2025-02-09 05:29:12.776;TRF;1;0;0;;0
2025-02-09 07:57:12.622;TRF;1;0;0;;0
2025-02-09 07:57:37.002;TRF;1;0;0;;0
2025-02-09 18:17:32.472;TRF;1;0;0;;0
2025-02-10 06:10:58.370;TRF;1;0;0;;0
2025-02-10 06:12:24.945;TRF;1;0;0;;0
2025-02-10 07:44:47.375;TRF;1;0;0;;0
2025-02-10 17:56:31.923;TRF;1;0;0;;5
2025-02-10 23:25:38.338;TRF;1;0;0;;5
2025-02-10 23:31:54.483;TRF;1;0;0;;5
2025-02-11 01:20:08.984;TRF;1;0;0;;5
2025-02-11 01:39:51.757;TRF;1;0;0;;5
2025-02-11 01:41:29.676;TRF;1;0;0;;5
2025-02-11 05:25:17.637;TRF;1;0;0;;5
2025-02-11 05:27:47.191;TRF;1;0;0;;5
2025-02-11 06:16:37.943;TRF;1;0;0;;5
2025-02-11 06:17:38.513;TRF;1;0;0;;5
2025-02-11 07:32:09.644;TRF;1;0;0;;5
2025-02-11 07:41:41.847;TRF;1;0;0;;5
2025-02-11 07:43:34.439;TRF;1;0;0;;5
2025-02-11 07:59:16.433;TRF;1;0;0;;5
2025-02-11 08:10:07.671;TRF;1;0;0;;5
2025-02-11 16:47:30.035;TRF;1;0;0;;5
2025-02-11 16:58:09.523;TRF;1;0;0;;5
2025-02-11 17:40:46.135;TRF;1;0;0;;5
2025-02-11 17:42:20.053;TRF;1;0;0;;5
2025-02-11 18:03:37.463;TRF;1;0;0;;5
2025-02-11 18:07:02.790;TRF;1;0;0;;5
2025-02-11 18:18:56.001;TRF;1;0;0;;5
2025-02-11 18:24:16.314;TRF;1;0;0;;5
2025-02-11 18:25:58.943;TRF;1;1;198;;5
2025-02-11 18:57:20.325;TRF;1;0;0;;5
2025-02-11 18:58:12.280;TRF;1;0;0;;5
2025-02-11 20:18:50.017;TRF;1;1;257;;5
2025-02-11 20:38:04.693;TRF;1;0;0;;5
2025-02-11 20:40:17.609;TRF;1;0;0;;5
2025-02-11 21:11:18.539;TRF;1;1;244;;5
2025-02-11 21:49:10.524;TRF;1;0;0;;5
2025-02-11 21:50:33.069;TRF;1;0;0;;5
2025-02-11 22:02:44.079;TRF;1;0;0;;5
2025-02-11 22:09:49.161;TRF;1;0;0;;5
2025-02-11 22:13:12.269;TRF;1;0;0;;5
2025-02-11 22:25:36.205;TRF;1;0;0;;5
2025-02-11 22:40:00.250;TRF;1;0;0;;5
2025-02-11 22:43:25.880;TRF;1;0;0;;5
2025-02-11 22:57:30.584;TRF;1;0;0;;5
2025-02-11 23:05:47.153;TRF;1;0;0;;5
2025-02-11 23:31:24.872;TRF;1;0;0;;5
2025-02-12 00:06:58.563;TRF;1;0;0;;5
2025-02-12 00:27:47.055;TRF;1;1;251;;5
2025-02-12 01:02:20.998;TRF;1;0;0;;5
2025-02-12 01:04:46.505;TRF;1;0;0;;5
2025-02-12 02:33:08.745;TRF;1;0;0;;5
2025-02-12 03:23:34.437;TRF;1;0;0;;5
2025-02-12 03:32:14.794;TRF;1;0;0;;5
2025-02-12 03:38:39.998;TRF;1;0;0;;5
2025-02-12 03:39:14.044;TRF;1;0;0;;5
2025-02-12 05:13:56.622;TRF;1;0;0;;5
2025-02-12 05:15:38.139;TRF;1;0;0;;5
2025-02-12 05:51:20.071;TRF;1;0;0;;5
2025-02-12 06:02:23.882;TRF;1;0;0;;5
2025-02-12 06:10:17.828;TRF;1;0;0;;5
2025-02-12 06:15:21.421;TRF;1;0;0;;5
2025-02-12 07:48:38.239;TRF;1;0;0;;5
2025-02-12 08:00:41.683;TRF;1;0;0;;5
2025-02-12 08:01:08.776;TRF;1;0;0;;5
2025-02-12 08:01:31.927;TRF;1;0;0;;5
2025-02-12 08:01:46.513;TRF;1;0;0;;5
2025-02-12 08:12:03.029;TRF;1;0;0;;5
2025-02-12 17:47:27.834;TRF;1;0;0;;1
2025-02-12 17:48:25.031;TRF;1;1;203;;1
2025-02-12 18:10:28.195;TRF;1;0;0;;1
2025-02-12 18:41:38.794;TRF;1;1;181;;1
2025-02-12 18:59:08.599;TRF;1;1;241;;1
2025-02-12 18:59:28.923;TRF;1;0;0;;1
2025-02-12 18:59:36.760;TRF;1;1;267;;1
2025-02-12 20:24:22.210;TRF;1;0;0;;1
2025-02-12 20:25:29.078;TRF;1;0;0;;1
2025-02-12 21:54:56.076;TRF;1;0;0;;1
2025-02-12 21:56:37.979;TRF;1;0;0;;1
2025-02-12 22:12:01.273;TRF;1;0;0;;1
2025-02-12 22:15:49.466;TRF;1;0;0;;1
2025-02-12 22:26:04.828;TRF;1;0;0;;1
2025-02-12 22:32:15.880;TRF;1;0;0;;1
2025-02-12 23:49:50.986;TRF;1;1;263;;1
2025-02-13 00:11:05.011;TRF;1;0;0;;1
2025-02-13 00:14:57.255;TRF;1;0;0;;1
2025-02-13 00:27:23.460;TRF;1;1;258;;1
2025-02-13 00:52:19.178;TRF;1;0;0;;1
2025-02-13 01:09:34.991;TRF;1;0;0;;1
2025-02-13 01:26:06.333;TRF;1;0;0;;1
2025-02-13 03:02:16.255;TRF;1;0;0;;1
2025-02-13 03:16:36.161;TRF;1;0;0;;1
2025-02-13 03:22:02.821;TRF;1;0;0;;1
2025-02-13 03:47:48.203;TRF;1;0;0;;1
2025-02-13 03:52:19.321;TRF;1;0;0;;1
2025-02-13 04:13:22.040;TRF;1;0;0;;1
2025-02-13 04:16:27.376;TRF;1;0;0;;1
2025-02-13 04:35:31.325;TRF;1;0;0;;1
2025-02-13 04:40:31.138;TRF;1;0;0;;1
2025-02-13 05:00:26.671;TRF;1;0;0;;1
2025-02-13 05:17:25.143;TRF;1;0;0;;1
2025-02-13 05:19:36.490;TRF;1;0;0;;1
2025-02-13 05:21:33.167;TRF;1;0;0;;1
2025-02-13 05:31:17.744;TRF;1;0;0;;1
2025-02-13 05:44:06.993;TRF;1;0;0;;1
2025-02-13 05:55:03.313;TRF;1;0;0;;1
2025-02-13 07:37:56.060;TRF;1;0;0;;1
2025-02-13 07:38:35.771;TRF;1;0;0;;1
2025-02-13 07:39:11.175;TRF;1;0;0;;1
2025-02-13 07:52:26.498;TRF;1;0;0;;1
2025-02-13 18:08:50.722;TRF;1;0;0;;1
2025-02-13 18:20:55.600;TRF;1;0;0;;1
2025-02-13 18:24:46.639;TRF;1;0;0;;1
2025-02-13 18:32:33.483;TRF;1;0;0;;1
2025-02-13 18:34:21.083;TRF;1;1;250;;1
2025-02-13 18:40:09.618;TRF;1;1;164;;1
2025-02-13 18:40:17.141;TRF;1;1;283;;1
2025-02-13 22:02:37.981;TRF;1;0;0;;1
2025-02-13 22:04:23.051;TRF;1;0;0;;1
2025-02-13 22:10:16.751;TRF;1;0;0;;1
2025-02-13 22:15:35.612;TRF;1;0;0;;1
2025-02-13 23:18:28.386;TRF;1;0;0;;1
2025-02-13 23:49:07.007;TRF;1;0;0;;1
2025-02-14 01:50:12.359;TRF;1;0;0;;1
2025-02-14 01:52:18.034;TRF;1;0;0;;1
2025-02-14 04:26:05.142;TRF;1;0;0;;1
2025-02-14 02:10:17.013;TRF;1;0;0;;1
2025-02-14 02:14:56.166;TRF;1;0;0;;1
2025-02-14 02:19:16.041;TRF;1;0;0;;1
2025-02-14 03:41:02.645;TRF;1;0;0;;1
2025-02-14 03:48:02.753;TRF;1;0;0;;1
2025-02-14 03:48:42.463;TRF;1;0;0;;1
2025-02-14 04:06:27.598;TRF;1;0;0;;1
2025-02-14 04:11:57.592;TRF;1;0;0;;1
2025-02-14 04:32:14.966;TRF;1;0;0;;1
2025-02-14 04:46:14.486;TRF;1;0;0;;1
2025-02-14 02:20:30.986;TRF;1;0;0;;1
2025-02-14 04:46:21.515;TRF;1;0;0;;1
2025-02-14 04:51:41.441;TRF;1;0;0;;1
2025-02-14 05:36:13.048;TRF;1;0;0;;1
2025-02-14 05:38:56.841;TRF;1;0;0;;1
2025-02-14 05:45:14.066;TRF;1;0;0;;1
2025-02-14 05:48:28.501;TRF;1;0;0;;1
2025-02-14 06:25:39.129;TRF;1;0;0;;1
2025-02-14 06:46:46.345;TRF;1;0;0;;1
2025-02-14 07:06:09.612;TRF;1;0;0;;1
2025-02-14 07:40:04.966;TRF;1;0;0;;1
2025-02-14 07:47:06.226;TRF;1;0;0;;1
2025-02-14 07:55:31.040;TRF;1;0;0;;1
2025-02-14 07:56:28.474;TRF;1;0;0;;1
2025-02-14 08:05:02.426;TRF;1;0;0;;1
2025-02-14 08:09:29.687;TRF;1;0;0;;1
2025-02-14 16:38:42.157;TRF;1;0;0;;1
2025-02-14 16:50:53.147;TRF;1;0;0;;1
2025-02-14 17:51:40.334;TRF;1;0;0;;1
2025-02-14 17:51:42.316;TRF;1;0;0;;1
2025-02-14 18:48:40.990;TRF;1;0;0;;1
2025-02-14 18:49:12.619;TRF;1;1;200;;1
2025-02-14 21:38:00.768;TRF;1;0;0;;1
2025-02-14 21:39:04.579;TRF;1;0;0;;1
2025-02-14 22:34:13.730;TRF;1;0;0;;1
2025-02-14 22:37:07.580;TRF;1;0;0;;1
2025-02-14 23:01:51.360;TRF;1;0;0;;1
2025-02-14 23:07:59.093;TRF;1;0;0;;1
2025-02-15 00:29:04.417;TRF;1;1;246;;1
2025-02-15 00:47:59.545;TRF;1;0;0;;1
2025-02-15 00:49:13.752;TRF;1;0;0;;1
2025-02-15 01:41:39.448;TRF;1;0;0;;1
2025-02-15 02:03:41.307;TRF;1;0;0;;1
2025-02-15 02:12:18.815;TRF;1;0;0;;1
2025-02-15 02:19:23.831;TRF;1;0;0;;1
2025-02-15 02:21:07.779;TRF;1;0;0;;1
2025-02-15 02:45:24.585;TRF;1;0;0;;1
2025-02-15 03:23:17.659;TRF;1;0;0;;1
2025-02-15 03:30:27.419;TRF;1;0;0;;1
2025-02-15 03:46:19.404;TRF;1;1;260;;1
2025-02-15 04:06:56.711;TRF;1;1;254;;1
2025-02-15 04:38:50.605;TRF;1;0;0;;1
2025-02-15 04:53:48.977;TRF;1;0;0;;1
2025-02-15 05:01:41.108;TRF;1;0;0;;1
2025-02-15 05:03:24.813;TRF;1;0;0;;1
2025-02-15 05:17:00.262;TRF;1;0;0;;1
2025-02-15 05:18:35.091;TRF;1;0;0;;1
2025-02-15 05:33:13.436;TRF;1;1;230;;1
2025-02-15 05:49:01.513;TRF;1;1;210;;1
2025-02-15 06:11:52.832;TRF;1;0;0;;1
2025-02-15 06:21:15.771;TRF;1;0;0;;1
2025-02-15 07:24:06.100;TRF;1;0;0;;1
2025-02-15 07:49:58.474;TRF;1;0;0;;1
2025-02-15 13:33:12.404;TRF;1;0;0;;1
2025-02-15 17:58:42.508;TRF;1;0;0;;1
2025-02-15 18:05:24.859;TRF;1;0;0;;1
2025-02-15 18:10:15.497;TRF;1;0;0;;1
2025-02-15 18:13:10.488;TRF;1;0;0;;1
2025-02-15 18:13:15.204;TRF;1;0;0;;1
2025-02-15 18:15:08.153;TRF;1;0;0;;1
2025-02-15 18:26:16.138;TRF;1;0;0;;1
2025-02-15 18:26:26.192;TRF;1;0;0;;1
2025-02-15 18:39:37.221;TRF;1;0;0;;1
2025-02-15 18:41:23.849;TRF;1;1;244;;1
2025-02-15 19:52:24.412;TRF;1;0;0;;1
2025-02-15 19:53:04.211;TRF;1;0;0;;1
2025-02-15 21:12:37.308;TRF;1;0;0;;1
2025-02-15 21:12:52.898;TRF;1;0;0;;1
2025-02-15 21:14:06.074;TRF;1;0;0;;1
2025-02-15 21:14:55.044;TRF;1;0;0;;1
2025-02-15 21:58:11.896;TRF;1;0;0;;1
2025-02-15 23:22:10.945;TRF;1;0;0;;1
2025-02-15 23:34:43.950;TRF;1;0;0;;1
2025-02-15 23:42:52.354;TRF;1;0;0;;1
2025-02-15 23:54:47.745;TRF;1;0;0;;1
2025-02-16 03:01:16.436;TRF;1;0;0;;1
2025-02-16 03:09:26.697;TRF;1;0;0;;1
2025-02-16 03:10:32.586;TRF;1;0;0;;1
2025-02-16 03:13:07.471;TRF;1;0;0;;1
2025-02-16 03:37:41.888;TRF;1;0;0;;1
2025-02-16 03:45:17.421;TRF;1;0;0;;1
2025-02-16 03:48:05.274;TRF;1;0;0;;1
2025-02-16 03:58:01.043;TRF;1;0;0;;1
2025-02-16 04:09:57.816;TRF;1;0;0;;1
2025-02-16 04:16:18.796;TRF;1;0;0;;1
2025-02-16 04:18:00.105;TRF;1;0;0;;1
2025-02-16 04:22:55.550;TRF;1;0;0;;1
2025-02-16 04:28:22.127;TRF;1;0;0;;1
2025-02-16 04:32:29.020;TRF;1;0;0;;1
2025-02-16 04:43:26.173;TRF;1;0;0;;1
2025-02-16 04:54:40.961;TRF;1;0;0;;1
2025-02-16 04:57:14.985;TRF;1;0;0;;1
2025-02-16 05:18:51.613;TRF;1;0;0;;1
2025-02-16 05:36:25.807;TRF;1;0;0;;1
2025-02-16 05:43:09.191;TRF;1;0;0;;1
2025-02-16 05:50:45.921;TRF;1;0;0;;1
2025-02-16 06:01:29.672;TRF;1;0;0;;1
2025-02-16 06:53:57.716;TRF;1;0;0;;1
2025-02-16 07:12:31.226;TRF;1;0;0;;1
2025-02-16 07:13:32.447;TRF;1;0;0;;1
2025-02-16 07:31:18.543;TRF;1;0;0;;1
2025-02-16 07:54:12.730;TRF;1;0;0;;1
2025-02-16 07:55:13.332;TRF;1;0;0;;1
2025-02-16 08:05:27.914;TRF;1;0;0;;1
2025-02-16 17:31:28.976;TRF;1;1;212;;1
2025-02-16 19:02:12.080;TRF;1;0;0;;1
2025-02-16 19:02:41.226;TRF;1;0;0;;1
2025-02-16 21:45:14.942;TRF;1;0;0;;1
2025-02-16 21:45:34.477;TRF;1;0;0;;1
2025-02-17 00:03:38.166;TRF;1;0;0;;1
2025-02-17 00:10:49.698;TRF;1;0;0;;1
2025-02-17 02:02:59.387;TRF;1;0;0;;1
2025-02-17 02:06:05.445;TRF;1;0;0;;1
2025-02-17 02:11:17.209;TRF;1;0;0;;1
2025-02-17 02:12:45.172;TRF;1;0;0;;1
2025-02-17 02:49:02.889;TRF;1;0;0;;1
2025-02-17 02:51:59.759;TRF;1;0;0;;1
2025-02-17 04:25:27.498;TRF;1;0;0;;1
2025-02-17 04:27:37.413;TRF;1;0;0;;1
2025-02-17 05:19:04.879;TRF;1;0;0;;1
2025-02-17 05:20:05.950;TRF;1;0;0;;1
2025-02-17 06:39:10.698;TRF;1;0;0;;1
2025-02-17 07:20:42.567;TRF;1;0;0;;1
2025-02-17 07:47:25.799;TRF;1;0;0;;1
2025-02-17 07:52:39.943;TRF;1;0;0;;1
2025-02-17 17:05:16.968;TRF;1;0;0;;1
2025-02-17 17:31:07.867;TRF;1;0;0;;1
2025-02-17 18:02:41.698;TRF;1;0;0;;1
2025-02-17 18:26:24.689;TRF;1;0;0;;1
2025-02-17 18:34:26.397;TRF;1;1;251;;1
2025-02-17 20:36:31.967;TRF;1;0;0;;1
2025-02-17 20:36:57.016;TRF;1;0;0;;1
2025-02-17 21:47:27.278;TRF;1;1;254;;1
2025-02-17 21:49:03.346;TRF;1;0;0;;1
2025-02-17 22:17:14.215;TRF;1;0;0;;1
2025-02-17 22:22:48.432;TRF;1;0;0;;1
2025-02-17 23:18:34.784;TRF;1;0;0;;1
2025-02-17 23:20:10.312;TRF;1;0;0;;1
2025-02-18 00:09:10.039;TRF;1;0;0;;1
2025-02-18 00:10:30.211;TRF;1;0;0;;1
2025-02-18 00:27:20.293;TRF;1;0;0;;1
2025-02-18 00:44:03.486;TRF;1;0;0;;1
2025-02-18 00:53:55.133;TRF;1;0;0;;1
2025-02-18 01:15:56.685;TRF;1;0;0;;1
2025-02-18 01:37:46.700;TRF;1;0;0;;1
2025-02-18 01:45:55.253;TRF;1;0;0;;1
2025-02-18 01:55:59.034;TRF;1;0;0;;1
2025-02-18 01:56:37.651;TRF;1;0;0;;1
2025-02-18 02:02:27.627;TRF;1;0;0;;1
2025-02-18 02:37:31.062;TRF;1;0;0;;1
2025-02-18 02:41:22.603;TRF;1;0;0;;1
2025-02-18 03:22:50.181;TRF;1;0;0;;1
2025-02-18 03:27:34.337;TRF;1;0;0;;1
2025-02-18 03:35:39.476;TRF;1;0;0;;1
2025-02-18 03:43:22.383;TRF;1;0;0;;1
2025-02-18 04:08:22.143;TRF;1;0;0;;1
2025-02-18 04:16:10.753;TRF;1;0;0;;1
2025-02-18 04:39:43.568;TRF;1;0;0;;1
